               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.048176,              0.1383,            0.023287,             0.84131,              0.7853,             0.77429,             0.55874,            0.050003,             0.21027,            0.027637,            0.005875,            0.005875,            0.005875
                 127,            0.047433,             0.13431,            0.022026,             0.84552,             0.78261,              0.7762,             0.56174,            0.049796,             0.20855,              0.0278,            0.005842,            0.005842,            0.005842
                 128,            0.046819,             0.13033,            0.021852,             0.84111,             0.78345,              0.7732,             0.56016,            0.050051,             0.21213,            0.027934,            0.005809,            0.005809,            0.005809
                 129,            0.047375,             0.12845,            0.022252,             0.84454,             0.77965,             0.77158,             0.55818,            0.050077,             0.21127,            0.027724,            0.005776,            0.005776,            0.005776
                 130,            0.048547,             0.13789,            0.022392,             0.84886,             0.78296,             0.77565,             0.55857,            0.050001,             0.21075,            0.027602,            0.005743,            0.005743,            0.005743
                 131,            0.046715,             0.13156,            0.022062,             0.84884,             0.78584,             0.77408,             0.55845,            0.050042,             0.21143,            0.027634,             0.00571,             0.00571,             0.00571
                 132,            0.048286,             0.13662,            0.022875,             0.84908,             0.78244,             0.77437,             0.56558,            0.049666,             0.20792,            0.027658,            0.005677,            0.005677,            0.005677
                 133,            0.047948,             0.13023,            0.022497,             0.84506,             0.78761,             0.77475,             0.56242,            0.049889,                0.21,             0.02774,            0.005644,            0.005644,            0.005644
                 134,            0.047279,               0.134,            0.022148,             0.85055,             0.78301,             0.77375,             0.56392,            0.049732,             0.21022,            0.027525,            0.005611,            0.005611,            0.005611
                 135,            0.047624,             0.13509,            0.022942,             0.85216,              0.7768,             0.77395,             0.55994,            0.049888,             0.21163,            0.027742,            0.005578,            0.005578,            0.005578
                 136,            0.047884,             0.13449,            0.022443,             0.85302,              0.7821,             0.77639,             0.56448,            0.049701,             0.20999,            0.027536,            0.005545,            0.005545,            0.005545
                 137,            0.047217,             0.13551,            0.022467,             0.85109,             0.78464,              0.7759,             0.56597,            0.049782,             0.20765,            0.027512,            0.005512,            0.005512,            0.005512
                 138,            0.046697,             0.12712,             0.02183,               0.847,             0.78157,             0.77407,             0.56513,            0.049921,             0.20717,            0.027566,            0.005479,            0.005479,            0.005479
                 139,            0.048409,             0.13593,            0.022919,              0.8479,             0.78274,               0.776,              0.5675,            0.049705,             0.20883,            0.027612,            0.005446,            0.005446,            0.005446
                 140,            0.047765,             0.13723,            0.022824,             0.84393,             0.79018,             0.77645,             0.56341,            0.049793,             0.21002,            0.027492,            0.005413,            0.005413,            0.005413
                 141,            0.046188,             0.12707,            0.021438,             0.84586,             0.78578,             0.77681,             0.56816,            0.049762,              0.2092,            0.027401,             0.00538,             0.00538,             0.00538
                 142,            0.046186,             0.13343,            0.022441,              0.8464,             0.77915,              0.7746,             0.56228,            0.049787,             0.20843,            0.027528,            0.005347,            0.005347,            0.005347
